date,platform,sessions,users,add_to_carts,ventas
2025-12-01,web,5295,3693,309,104
2025-12-01,mobile,3355,2450,203,52
2025-12-01,app,2398,1869,180,54
2025-12-02,web,5273,3925,301,87
2025-12-02,mobile,3923,2896,252,62
2025-12-02,app,2397,1878,184,50
2025-12-03,web,5168,3682,296,96
2025-12-03,mobile,3972,3058,279,61
2025-12-03,app,2373,1852,174,55
2025-12-04,web,5319,3733,273,102
2025-12-04,mobile,4089,3158,232,67
2025-12-04,app,2489,2004,186,53
2025-12-05,web,5628,4060,317,108
2025-12-05,mobile,3606,2714,208,54
2025-12-05,app,2455,2052,160,57
2025-12-06,web,6322,4506,352,120
2025-12-06,mobile,5358,4169,313,82
2025-12-06,app,3413,2715,215,64
2025-12-07,web,5989,4376,333,115
2025-12-07,mobile,4513,3446,284,70
2025-12-07,app,3006,2357,204,61
2025-12-08,web,5785,4226,306,104
2025-12-08,mobile,4685,3608,296,74
2025-12-08,app,2803,2237,170,50
2025-12-09,web,5170,3611,293,85
2025-12-09,mobile,4011,3167,234,69
2025-12-09,app,2447,1946,158,50
2025-12-10,web,5954,4065,339,110
2025-12-10,mobile,3994,2904,241,61
2025-12-10,app,2653,2124,210,54
2025-12-11,web,5369,3886,300,110
2025-12-11,mobile,4389,3371,294,62
2025-12-11,app,2539,1975,172,46
2025-12-12,web,5992,4285,291,97
2025-12-12,mobile,4297,3348,299,89
2025-12-12,app,2730,2119,159,59
2025-12-13,web,6371,4530,333,113
2025-12-13,mobile,5207,3976,308,75
2025-12-13,app,2781,2192,194,69
2025-12-14,web,6810,5048,360,108
2025-12-14,mobile,4652,3459,327,68
2025-12-14,app,3276,2550,246,71
2025-12-15,web,5872,4223,306,110
2025-12-15,mobile,4214,3085,227,69
2025-12-15,app,2995,2408,208,65
2025-12-16,web,6449,4674,343,129
2025-12-16,mobile,4482,3563,273,63
2025-12-16,app,2533,2127,202,52
2025-12-17,web,5893,4429,295,97
2025-12-17,mobile,4578,3438,275,72
2025-12-17,app,2840,2368,200,63
2025-12-18,web,5336,3836,274,84
2025-12-18,mobile,4212,3169,271,58
2025-12-18,app,2813,2218,192,65
2025-12-19,web,6334,4743,344,106
2025-12-19,mobile,4424,3387,269,63
2025-12-19,app,2847,2293,239,71
2025-12-20,web,8440,6024,410,143
2025-12-20,mobile,6623,5216,374,99
2025-12-20,app,3577,2848,229,71
2025-12-21,web,8498,6101,402,131
2025-12-21,mobile,7392,5401,405,140
2025-12-21,app,4862,3753,330,106
2025-12-22,web,8681,6065,468,168
2025-12-22,mobile,5897,4431,350,81
2025-12-22,app,3578,2840,255,71
2025-12-23,web,8154,6049,454,152
2025-12-23,mobile,5813,4418,329,96
2025-12-23,app,3639,3094,287,79
2025-12-24,web,7629,5310,460,141
2025-12-24,mobile,6011,4329,387,101
2025-12-24,app,3444,2716,246,73
2025-12-25,web,4434,3183,239,81
2025-12-25,mobile,3590,2518,211,58
2025-12-25,app,2120,1677,128,46
2025-12-26,web,7891,5420,464,137
2025-12-26,mobile,5206,3832,304,94
2025-12-26,app,3415,2874,262,75
2025-12-27,web,9156,6679,537,160
2025-12-27,mobile,6081,4525,394,86
2025-12-27,app,4005,3186,307,90
2025-12-28,web,9267,6819,446,166
2025-12-28,mobile,5676,4247,382,97
2025-12-28,app,3694,2865,259,68
2025-12-29,web,7027,5107,422,134
2025-12-29,mobile,4615,3539,278,77
2025-12-29,app,3707,2782,247,82
2025-12-30,web,6679,5022,378,130
2025-12-30,mobile,5207,4054,339,85
2025-12-30,app,3453,2785,225,71
2025-12-31,web,5693,4146,338,92
2025-12-31,mobile,4168,3308,235,61
2025-12-31,app,2684,2202,188,64
